,Cutting_Speed,Feed_Rate,Depth_of_cut,Wear
1,2.166,0.15,0.5,5.22
2,2.166,0.15,0.75,5.17
3,2.166,0.15,1,5.5
4,2.166,0.175,0.5,7.63
5,2.166,0.175,0.75,9.97
6,2.166,0.175,1,4.92
7,2.166,0.2,0.5,10.57
8,2.166,0.2,0.75,8.64
9,2.166,0.2,1,5.93
10,2.333,0.15,0.5,6.65
11,2.333,0.15,0.75,7.37
12,2.333,0.15,1,7.07
13,2.333,0.175,0.5,5.95
14,2.333,0.175,0.75,5.36
15,2.333,0.175,1,4.57
16,2.333,0.2,0.5,5.64
17,2.333,0.2,0.75,6.39
18,2.333,0.2,1,7.44
19,2.5,0.15,0.5,7.86
20,2.5,0.15,0.75,2.98
21,2.5,0.15,1,4.03
22,2.5,0.175,0.5,4.79
23,2.5,0.175,0.75,4.43
24,2.5,0.175,1,3.06
25,2.5,0.2,0.5,7.22
26,2.5,0.2,0.75,7.08
27,2.5,0.2,1,6.57
